session_id,user_id,agent_id,start_time,end_time,response_time_in_sec,total_queries,,,
S-2634,U-2634,A-2634,13.58.13,14.07.28,555,308,,,
S-2635,U-2635,A-2635,14.46.15,15.15.21,1746,6283,,,
S-2636,U-2636,A-2636,3.36.04,4.27.46,3102,269,,,
S-2637,U-2637,A-2637,21.59.20,22.31.07,1907,6757,,,
S-2638,U-2638,A-2638,4.17.26,4.36.21,1135,317,,,
S-2639,U-2639,A-2639,22.54.55,23.40.07,2712,467,,,
S-2640,U-2640,A-2640,1.59.34,2.59.24,3590,2097,,,
S-2641,U-2641,A-2641,0.15.30,1.01.16,2746,3302,,,
S-2642,U-2642,A-2642,11.07.29,11.40.28,1979,2112,,,
S-2643,U-2643,A-2643,14.40.34,15.16.17,2143,4793,,,
S-2644,U-2644,A-2644,5.01.49,5.54.37,3168,5550,,,
S-2645,U-2645,A-2645,4.24.26,4.40.00,934,214,,,
S-2646,U-2646,A-2646,3.20.39,3.57.53,2234,4312,,,
S-2647,U-2647,A-2647,20.53.44,21.37.00,2596,6088,,,
S-2648,U-2648,A-2648,16.44.26,17.20.15,2149,842,,,
S-2649,U-2649,A-2649,20.27.52,21.11.58,2646,5229,,,
S-2650,U-2650,A-2650,11.27.53,12.20.03,3130,4009,,,
S-2651,U-2651,A-2651,18.11.05,18.23.51,766,7748,,,
S-2652,U-2652,A-2652,23.25.30,23.42.14,1004,133,,,
S-2653,U-2653,A-2653,17.10.28,17.21.03,635,6727,,,
S-2654,U-2654,A-2654,23.12.27,23.57.44,2717,3965,,,
S-2655,U-2655,A-2655,16.35.49,16.47.53,724,2235,,,
S-2656,U-2656,A-2656,8.20.45,8.52.50,1925,4429,,,
S-2657,U-2657,A-2657,9.15.20,10.12.05,3405,6957,,,
S-2658,U-2658,A-2658,6.33.17,7.04.23,1866,1406,,,
S-2659,U-2659,A-2659,11.38.53,12.32.21,3208,2336,,,
S-2660,U-2660,A-2660,15.25.30,15.45.12,1182,1947,,,
S-2661,U-2661,A-2661,3.53.08,4.30.18,2230,6176,,,
S-2662,U-2662,A-2662,8.38.30,9.08.15,1785,3471,,,
S-2663,U-2663,A-2663,23.48.33,0.02.57,-85536,1269,,,
S-2664,U-2664,A-2664,23.42.32,0.35.06,-83246,4646,,,
S-2665,U-2665,A-2665,1.58.24,2.26.25,1681,1077,,,
S-2666,U-2666,A-2666,4.54.57,5.01.58,421,7655,,,
S-2667,U-2667,A-2667,7.39.04,8.11.21,1937,2660,,,
S-2668,U-2668,A-2668,8.48.10,8.54.32,382,445,,,
S-2669,U-2669,A-2669,23.36.09,23.52.46,997,2351,,,
S-2670,U-2670,A-2670,2.58.59,3.47.38,2919,1917,,,
S-2671,U-2671,A-2671,7.34.14,8.03.30,1756,1351,,,
S-2672,U-2672,A-2672,1.16.32,2.13.36,3424,7137,,,
S-2673,U-2673,A-2673,5.08.23,6.03.06,3283,7411,,,
S-2674,U-2674,A-2674,0.42.03,1.22.27,2424,1939,,,
S-2675,U-2675,A-2675,15.22.20,16.01.49,2369,6947,,,
S-2676,U-2676,A-2676,19.36.27,20.17.29,2462,5015,,,
S-2677,U-2677,A-2677,17.23.27,18.16.19,3172,4637,,,
S-2678,U-2678,A-2678,14.05.22,14.21.44,982,1310,,,
S-2679,U-2679,A-2679,3.59.24,4.54.06,3282,7411,,,
S-2680,U-2680,A-2680,20.53.24,21.06.19,775,2837,,,
S-2681,U-2681,A-2681,0.29.36,0.47.38,1082,634,,,
S-2682,U-2682,A-2682,21.47.23,22.02.33,910,554,,,
S-2683,U-2683,A-2683,11.53.45,12.30.42,2217,2150,,,
S-2684,U-2684,A-2684,21.49.21,22.03.10,829,4384,,,
S-2685,U-2685,A-2685,9.04.28,9.16.12,704,440,,,
S-2686,U-2686,A-2686,1.41.15,2.16.58,2143,1784,,,
S-2687,U-2687,A-2687,19.26.25,20.11.50,2725,3134,,,
S-2688,U-2688,A-2688,19.39.23,20.28.57,2974,6264,,,
S-2689,U-2689,A-2689,9.35.48,9.56.39,1251,1711,,,
S-2690,U-2690,A-2690,10.04.39,10.22.19,1060,3218,,,
S-2691,U-2691,A-2691,3.21.33,4.07.28,2755,2021,,,
S-2692,U-2692,A-2692,4.22.32,4.59.34,2222,408,,,
S-2693,U-2693,A-2693,23.13.21,23.57.52,2671,6787,,,
S-2694,U-2694,A-2694,19.47.17,20.08.27,1270,6588,,,
S-2695,U-2695,A-2695,8.55.46,9.34.06,2300,3557,,,
S-2696,U-2696,A-2696,22.01.41,22.29.34,1673,7943,,,
S-2697,U-2697,A-2697,1.56.50,2.28.26,1896,6648,,,
S-2698,U-2698,A-2698,3.33.21,3.52.54,1173,4528,,,
S-2699,U-2699,A-2699,18.42.02,19.06.59,1497,6098,,,
S-2700,U-2700,A-2700,1.16.11,1.36.03,1192,2732,,,
S-2701,U-2701,A-2701,20.57.26,21.32.15,2089,1365,,,
S-2702,U-2702,A-2702,13.51.36,14.33.38,2522,974,,,
S-2703,U-2703,A-2703,2.00.29,2.38.53,2304,2067,,,
S-2704,U-2704,A-2704,12.35.05,12.49.40,875,2074,,,
S-2705,U-2705,A-2705,5.18.27,5.49.37,1870,936,,,
S-2706,U-2706,A-2706,10.35.02,11.04.22,1760,3420,,,
S-2707,U-2707,A-2707,15.17.52,15.47.50,1798,4528,,,
S-2708,U-2708,A-2708,20.46.56,21.19.27,1951,2724,,,
S-2709,U-2709,A-2709,11.53.38,12.20.11,1593,4857,,,
S-2710,U-2710,A-2710,10.56.45,11.54.44,3479,6519,,,
S-2711,U-2711,A-2711,3.12.07,3.26.08,841,3018,,,
S-2712,U-2712,A-2712,8.49.08,9.13.51,1483,7604,,,
S-2713,U-2713,A-2713,17.24.44,17.43.09,1105,260,,,
S-2714,U-2714,A-2714,4.16.13,5.04.10,2877,3369,,,
S-2715,U-2715,A-2715,11.21.50,12.14.07,3137,7037,,,
S-2716,U-2716,A-2716,2.46.54,3.44.12,3438,961,,,
S-2717,U-2717,A-2717,14.29.53,15.17.21,2848,4213,,,
S-2718,U-2718,A-2718,18.26.03,18.55.44,1781,7737,,,
S-2719,U-2719,A-2719,9.56.49,10.51.46,3297,483,,,
S-2720,U-2720,A-2720,19.34.28,20.03.27,1739,3126,,,
S-2721,U-2721,A-2721,20.21.59,20.38.30,991,2740,,,
S-2722,U-2722,A-2722,7.44.09,8.26.27,2538,2359,,,
S-2723,U-2723,A-2723,11.24.43,11.40.57,974,4848,,,
S-2724,U-2724,A-2724,0.02.42,0.32.10,1768,4784,,,
S-2725,U-2725,A-2725,15.34.32,15.46.26,714,4213,,,
S-2726,U-2726,A-2726,14.55.27,15.13.07,1060,2097,,,
S-2727,U-2727,A-2727,18.48.19,19.13.51,1532,4729,,,
S-2728,U-2728,A-2728,2.06.13,2.41.11,2098,7370,,,
S-2729,U-2729,A-2729,11.00.11,11.20.53,1242,472,,,
S-2730,U-2730,A-2730,5.13.18,5.44.35,1877,2453,,,
S-2731,U-2731,A-2731,10.38.18,10.53.22,904,166,,,
S-2732,U-2732,A-2732,21.28.35,21.55.43,1628,1661,,,
S-2733,U-2733,A-2733,11.00.22,11.34.54,2072,7861,,,
S-2734,U-2734,A-2734,11.25.26,11.52.13,1607,5201,,,
S-2735,U-2735,A-2735,12.39.47,13.01.47,1320,1462,,,
S-2736,U-2736,A-2736,19.04.15,20.01.52,3457,3109,,,
S-2737,U-2737,A-2737,6.05.46,6.58.38,3172,1733,,,
S-2738,U-2738,A-2738,21.01.55,21.29.45,1670,440,,,
S-2739,U-2739,A-2739,14.15.31,14.44.21,1730,6401,,,
S-2740,U-2740,A-2740,23.40.03,0.16.43,-84200,283,,,
S-2741,U-2741,A-2741,6.56.15,7.35.13,2338,1777,,,
S-2742,U-2742,A-2742,6.00.51,6.44.32,2621,1539,,,
S-2743,U-2743,A-2743,18.36.17,19.23.38,2841,4276,,,
S-2744,U-2744,A-2744,15.59.20,16.16.13,1013,76,,,
S-2745,U-2745,A-2745,9.56.22,10.41.52,2730,1229,,,
S-2746,U-2746,A-2746,5.42.04,5.52.22,618,6118,,,
S-2747,U-2747,A-2747,18.04.33,18.13.16,523,4987,,,
S-2748,U-2748,A-2748,15.36.01,15.58.40,1359,3260,,,
S-2749,U-2749,A-2749,8.56.41,9.41.43,2702,7923,,,
S-2750,U-2750,A-2750,23.38.05,0.09.45,-84500,2243,,,
S-2751,U-2751,A-2751,6.38.47,7.14.46,2159,7820,,,
S-2752,U-2752,A-2752,6.03.55,6.52.21,2906,7238,,,
S-2753,U-2753,A-2753,9.43.06,10.09.10,1564,7676,,,
S-2754,U-2754,A-2754,12.40.27,13.31.39,3072,5531,,,
S-2755,U-2755,A-2755,5.23.22,5.40.35,1033,2469,,,
S-2756,U-2756,A-2756,7.47.34,8.08.36,1262,7350,,,
S-2757,U-2757,A-2757,1.32.06,1.44.10,724,214,,,
S-2758,U-2758,A-2758,13.17.58,13.31.47,829,4285,,,
S-2759,U-2759,A-2759,21.53.06,22.45.17,3131,5211,,,
S-2760,U-2760,A-2760,16.32.35,17.08.25,2150,3948,,,
S-2761,U-2761,A-2761,20.32.05,20.40.28,503,6608,,,
S-2762,U-2762,A-2762,8.44.41,9.28.31,2630,4222,,,
S-2763,U-2763,A-2763,3.44.09,4.22.59,2330,6108,,,
S-2764,U-2764,A-2764,11.24.02,12.23.28,3566,5550,,,
S-2765,U-2765,A-2765,7.49.12,8.00.43,691,763,,,
S-2766,U-2766,A-2766,14.19.27,15.05.34,2767,2128,,,
S-2767,U-2767,A-2767,9.36.59,10.23.57,2818,218,,,
S-2768,U-2768,A-2768,16.50.39,17.18.22,1663,2014,,,
S-2769,U-2769,A-2769,9.26.17,10.03.37,2240,2684,,,
S-2770,U-2770,A-2770,9.39.56,10.06.49,1613,2772,,,
S-2771,U-2771,A-2771,19.54.43,20.05.09,626,3712,,,
S-2772,U-2772,A-2772,6.44.51,7.20.26,2135,3764,,,
S-2773,U-2773,A-2773,1.31.09,1.45.31,862,162,,,
S-2774,U-2774,A-2774,11.08.14,11.21.31,797,7218,,,
S-2775,U-2775,A-2775,5.06.52,6.00.22,3210,2437,,,
S-2776,U-2776,A-2776,15.02.54,15.31.37,1723,6098,,,
S-2777,U-2777,A-2777,8.47.21,9.19.48,1947,3488,,,
S-2778,U-2778,A-2778,7.55.21,8.24.24,1743,4009,,,
S-2779,U-2779,A-2779,7.35.18,7.50.44,926,3352,,,
S-2780,U-2780,A-2780,13.04.04,13.31.52,1668,6569,,,
S-2781,U-2781,A-2781,17.50.32,18.28.31,2279,7768,,,
S-2782,U-2782,A-2782,17.16.44,17.28.57,733,4738,,,
S-2783,U-2783,A-2783,23.18.44,23.31.02,738,3109,,,
S-2784,U-2784,A-2784,23.35.18,0.26.39,-83319,1006,,,
S-2785,U-2785,A-2785,17.45.12,18.08.11,1379,6847,,,
S-2786,U-2786,A-2786,23.46.23,0.17.53,-84510,6001,,,
S-2787,U-2787,A-2787,21.20.16,21.53.00,1964,942,,,
S-2788,U-2788,A-2788,9.00.38,9.38.10,2252,2895,,,
S-2789,U-2789,A-2789,13.43.05,14.09.48,1603,4674,,,
S-2790,U-2790,A-2790,0.10.01,0.52.57,2576,7717,,,
S-2791,U-2791,A-2791,16.08.15,17.05.42,3447,7390,,,
S-2792,U-2792,A-2792,2.40.00,3.21.53,2513,4151,,,
S-2793,U-2793,A-2793,4.44.38,5.02.41,1083,3781,,,
S-2794,U-2794,A-2794,5.51.55,6.23.16,1881,2636,,,
S-2795,U-2795,A-2795,19.50.38,20.08.30,1072,5550,,,
S-2796,U-2796,A-2796,1.28.25,1.52.38,1453,7533,,,
S-2797,U-2797,A-2797,2.22.13,2.49.08,1615,6079,,,
S-2798,U-2798,A-2798,14.00.47,14.57.14,3387,6907,,,
S-2799,U-2799,A-2799,17.12.32,17.29.13,1001,5588,,,
S-2800,U-2800,A-2800,1.48.27,2.08.16,1189,1726,,,
S-2801,U-2801,A-2801,12.31.26,13.03.36,1930,5560,,,
S-2802,U-2802,A-2802,14.00.22,14.33.35,1993,4312,,,
S-2803,U-2803,A-2803,2.04.52,2.46.49,2517,2406,,,
S-2804,U-2804,A-2804,13.01.23,13.44.43,2600,6156,,,
S-2805,U-2805,A-2805,23.13.59,0.03.26,-83433,5607,,,
S-2806,U-2806,A-2806,15.40.32,16.13.02,1950,6283,,,
S-2807,U-2807,A-2807,6.09.43,6.15.41,358,3226,,,
S-2808,U-2808,A-2808,12.28.54,12.57.46,1732,2204,,,
S-2809,U-2809,A-2809,23.16.13,23.39.01,1368,2437,,,
S-2810,U-2810,A-2810,2.09.58,2.30.42,1244,1019,,,
S-2811,U-2811,A-2811,6.14.01,7.08.10,3249,7563,,,
S-2812,U-2812,A-2812,11.13.28,11.34.04,1236,599,,,
S-2813,U-2813,A-2813,21.50.06,22.32.24,2538,3574,,,
S-2814,U-2814,A-2814,17.29.25,17.35.27,362,4867,,,
S-2815,U-2815,A-2815,7.08.13,7.28.42,1229,3583,,,
S-2816,U-2816,A-2816,3.15.05,4.07.28,3143,7799,,,
S-2817,U-2817,A-2817,21.14.19,21.43.17,1738,2212,,,
S-2818,U-2818,A-2818,11.26.09,11.43.31,1042,5136,,,
S-2819,U-2819,A-2819,2.49.51,3.23.16,2005,5972,,,
S-2820,U-2820,A-2820,17.37.27,18.08.11,1844,7778,,,
S-2821,U-2821,A-2821,1.41.39,1.53.55,736,4950,,,
S-2822,U-2822,A-2822,14.12.55,14.32.42,1187,6156,,,
S-2823,U-2823,A-2823,0.03.12,0.54.33,3081,2676,,,
S-2824,U-2824,A-2824,11.45.32,12.27.21,2509,4420,,,
S-2825,U-2825,A-2825,1.10.58,1.24.53,835,3799,,,
S-2826,U-2826,A-2826,3.20.21,3.51.45,1884,4619,,,
S-2827,U-2827,A-2827,2.30.13,3.27.10,3417,7943,,,
S-2828,U-2828,A-2828,15.06.55,15.38.49,1914,2250,,,
S-2829,U-2829,A-2829,23.26.17,0.03.04,-84193,1568,,,
S-2830,U-2830,A-2830,16.42.23,16.47.48,325,7902,,,
S-2831,U-2831,A-2831,19.29.00,20.15.27,2787,763,,,
S-2832,U-2832,A-2832,2.40.16,3.12.47,1951,205,,,
S-2833,U-2833,A-2833,13.06.59,13.23.44,1005,6050,,,
S-2834,U-2834,A-2834,22.57.26,23.14.41,1035,1525,,,
S-2835,U-2835,A-2835,14.09.56,14.31.19,1283,3378,,,
S-2836,U-2836,A-2836,14.42.00,15.21.38,2378,830,,,
S-2837,U-2837,A-2837,10.58.34,11.42.04,2610,4330,,,
S-2838,U-2838,A-2838,9.03.25,9.43.02,2377,7635,,,
S-2839,U-2839,A-2839,4.37.37,5.24.11,2794,7625,,,
S-2840,U-2840,A-2840,4.06.21,5.01.16,3295,4366,,,
S-2841,U-2841,A-2841,13.18.56,14.06.27,2851,4839,,,
S-2842,U-2842,A-2842,5.33.35,6.18.44,2709,3437,,,
S-2843,U-2843,A-2843,5.23.08,5.32.28,560,3877,,,
S-2844,U-2844,A-2844,18.15.44,18.25.00,556,1546,,,
S-2845,U-2845,A-2845,7.56.47,8.36.55,2408,3965,,,
S-2846,U-2846,A-2846,12.48.12,13.30.48,2556,6186,,,
S-2847,U-2847,A-2847,3.36.40,4.34.33,3473,5323,,,
S-2848,U-2848,A-2848,15.39.35,16.29.23,2988,1242,,,
S-2849,U-2849,A-2849,20.17.12,21.01.59,2687,532,,,
S-2850,U-2850,A-2850,22.53.06,23.24.01,1855,6088,,,
S-2851,U-2851,A-2851,8.19.49,9.15.55,3366,6050,,,
S-2852,U-2852,A-2852,3.15.47,4.01.58,2771,3729,,,
S-2853,U-2853,A-2853,19.59.08,20.50.16,3068,1025,,,
S-2854,U-2854,A-2854,12.50.29,13.43.39,3190,3608,,,
S-2855,U-2855,A-2855,1.08.49,1.48.18,2369,7492,,,
S-2856,U-2856,A-2856,9.20.45,10.18.46,3481,3565,,,
S-2857,U-2857,A-2857,6.15.40,6.53.00,2240,7696,,,
S-2858,U-2858,A-2858,19.10.41,19.32.59,1338,3531,,,
S-2859,U-2859,A-2859,6.07.20,6.52.16,2696,2037,,,
S-2860,U-2860,A-2860,21.43.21,21.56.53,812,6737,,,
S-2861,U-2861,A-2861,21.50.43,22.37.25,2802,2414,,,
S-2862,U-2862,A-2862,17.57.17,18.52.37,3320,6559,,,
S-2863,U-2863,A-2863,3.47.43,4.02.25,882,6069,,,
S-2864,U-2864,A-2864,4.05.22,4.30.22,1500,7269,,,
S-2865,U-2865,A-2865,9.45.18,10.44.41,3563,7370,,,
S-2866,U-2866,A-2866,19.15.00,19.26.23,683,3319,,,
S-2867,U-2867,A-2867,21.31.25,21.36.58,333,1704,,,
S-2868,U-2868,A-2868,16.43.45,17.01.39,1074,3600,,,
S-2869,U-2869,A-2869,15.35.29,16.13.27,2278,5876,,,
S-2870,U-2870,A-2870,0.10.09,1.09.23,3554,7411,,,
S-2871,U-2871,A-2871,6.12.37,7.06.17,3220,414,,,
S-2872,U-2872,A-2872,9.57.33,10.14.42,1029,4339,,,
S-2873,U-2873,A-2873,10.23.25,11.13.04,2979,3209,,,
S-2874,U-2874,A-2874,20.09.15,20.45.21,2166,692,,,
S-2875,U-2875,A-2875,23.51.13,0.30.22,-84051,710,,,
S-2876,U-2876,A-2876,22.11.06,22.34.20,1394,4601,,,
S-2877,U-2877,A-2877,2.43.24,3.21.56,2312,3773,,,
S-2878,U-2878,A-2878,17.29.47,18.29.31,3584,6499,,,
S-2879,U-2879,A-2879,19.15.20,19.31.17,957,80,,,
S-2880,U-2880,A-2880,4.21.40,4.44.34,1374,2266,,,
S-2881,U-2881,A-2881,20.38.31,21.03.14,1483,2492,,,
S-2882,U-2882,A-2882,13.19.25,14.02.55,2610,3403,,,
S-2883,U-2883,A-2883,21.51.18,22.19.27,1689,408,,,
S-2884,U-2884,A-2884,0.05.55,0.49.35,2620,322,,,
S-2885,U-2885,A-2885,12.05.38,12.28.52,1394,2628,,,
S-2886,U-2886,A-2886,10.52.13,11.30.32,2299,3886,,,
S-2887,U-2887,A-2887,9.17.21,9.45.32,1691,2636,,,
S-2888,U-2888,A-2888,16.32.35,16.59.19,1604,3201,,,
S-2889,U-2889,A-2889,8.08.45,8.51.36,2571,4811,,,
S-2890,U-2890,A-2890,1.47.53,2.40.06,3133,2716,,,
S-2891,U-2891,A-2891,15.15.43,16.13.35,3472,5799,,,
S-2892,U-2892,A-2892,19.20.30,20.12.52,3142,3808,,,
S-2893,U-2893,A-2893,19.54.04,20.41.56,2872,4276,,,
S-2894,U-2894,A-2894,3.00.35,3.52.46,3131,6011,,,
S-2895,U-2895,A-2895,7.26.31,8.24.51,3500,1769,,,
S-2896,U-2896,A-2896,12.07.06,12.13.45,399,4583,,,
S-2897,U-2897,A-2897,14.12.47,14.36.51,1444,4133,,,
S-2898,U-2898,A-2898,14.30.35,15.01.36,1861,4456,,,
S-2899,U-2899,A-2899,14.44.50,14.54.36,586,4062,,,
S-2900,U-2900,A-2900,17.06.14,17.39.53,2019,3904,,,
S-2901,U-2901,A-2901,8.15.02,9.12.47,3465,2037,,,
S-2902,U-2902,A-2902,9.51.47,10.50.36,3529,7137,,,
S-2903,U-2903,A-2903,12.59.55,13.45.07,2712,1747,,,
S-2904,U-2904,A-2904,23.47.42,0.24.39,-84183,516,,,
S-2905,U-2905,A-2905,18.43.39,19.40.11,3392,223,,,
S-2906,U-2906,A-2906,4.48.50,4.57.18,508,6767,,,
S-2907,U-2907,A-2907,17.30.34,17.52.34,1320,6088,,,
S-2908,U-2908,A-2908,23.30.43,0.07.37,-84186,2375,,,
S-2909,U-2909,A-2909,22.39.52,23.21.26,2494,3860,,,
S-2910,U-2910,A-2910,12.11.33,12.38.54,1641,5117,,,
S-2911,U-2911,A-2911,4.58.21,5.56.36,3495,830,,,
S-2912,U-2912,A-2912,12.19.33,12.45.29,1556,2328,,,
S-2913,U-2913,A-2913,0.03.12,0.45.26,2534,923,,,
S-2914,U-2914,A-2914,2.14.57,3.07.50,3173,6264,,,
S-2915,U-2915,A-2915,1.42.37,2.12.57,1820,510,,,
S-2916,U-2916,A-2916,15.09.20,15.49.32,2412,1575,,,
S-2917,U-2917,A-2917,4.40.06,5.07.04,1618,3142,,,
S-2918,U-2918,A-2918,15.57.21,16.39.55,2554,1568,,,
S-2919,U-2919,A-2919,12.23.16,12.38.40,924,2684,,,
S-2920,U-2920,A-2920,14.27.04,14.51.25,1461,1297,,,
S-2921,U-2921,A-2921,22.43.22,22.53.05,583,2143,,,
S-2922,U-2922,A-2922,23.21.01,23.41.10,1209,2862,,,
S-2923,U-2923,A-2923,22.35.08,22.49.54,886,4555,,,
S-2924,U-2924,A-2924,7.02.08,7.17.42,934,2289,,,
S-2925,U-2925,A-2925,1.40.12,2.12.23,1931,2461,,,
S-2926,U-2926,A-2926,0.04.49,0.58.29,3220,6011,,,
S-2927,U-2927,A-2927,8.28.21,9.12.48,2667,3497,,,
S-2928,U-2928,A-2928,0.32.19,0.50.50,1111,4178,,,
S-2929,U-2929,A-2929,16.14.42,17.08.38,3236,2604,,,
S-2930,U-2930,A-2930,15.22.49,15.31.39,530,5626,,,
S-2931,U-2931,A-2931,9.22.42,10.08.00,2718,5693,,,
S-2932,U-2932,A-2932,7.09.42,7.36.15,1593,2596,,,
S-2933,U-2933,A-2933,19.47.36,20.02.13,877,5399,,,
S-2934,U-2934,A-2934,1.35.23,2.19.38,2655,6549,,,
S-2935,U-2935,A-2935,15.46.12,16.19.31,1999,7350,,,
S-2936,U-2936,A-2936,17.20.03,17.59.25,2362,3327,,,
S-2937,U-2937,A-2937,0.29.36,0.50.10,1234,2716,,,
S-2938,U-2938,A-2938,20.10.39,21.08.35,3476,7400,,,
S-2939,U-2939,A-2939,9.29.44,9.40.01,617,3352,,,
S-2940,U-2940,A-2940,8.34.38,9.01.59,1641,6618,,,
S-2941,U-2941,A-2941,6.24.38,6.32.55,497,2797,,,
S-2942,U-2942,A-2942,11.58.56,12.43.37,2681,2414,,,
S-2943,U-2943,A-2943,22.36.27,23.29.44,3197,28,,,
S-2944,U-2944,A-2944,21.14.31,21.30.37,966,308,,,
S-2945,U-2945,A-2945,5.54.09,6.24.50,1841,1646,,,
S-2946,U-2946,A-2946,13.27.57,14.26.25,3508,3677,,,
S-2947,U-2947,A-2947,22.33.38,23.03.57,1819,5550,,,
S-2948,U-2948,A-2948,12.34.04,13.11.22,2238,1954,,,
S-2949,U-2949,A-2949,9.05.43,9.14.33,530,1784,,,
S-2950,U-2950,A-2950,12.08.09,12.29.46,1297,5588,,,
S-2951,U-2951,A-2951,15.47.26,16.14.30,1624,2173,,,
S-2952,U-2952,A-2952,18.01.46,18.06.47,301,6887,,,
S-2953,U-2953,A-2953,13.41.00,14.07.29,1589,2,,,
S-2954,U-2954,A-2954,23.40.45,0.32.08,-83317,3184,,,
S-2955,U-2955,A-2955,23.08.16,23.57.15,2939,279,,,
S-2956,U-2956,A-2956,18.22.18,18.29.33,435,6638,,,
S-2957,U-2957,A-2957,9.17.54,10.05.17,2843,4802,,,
S-2958,U-2958,A-2958,23.01.02,23.55.26,3264,1872,,,
S-2959,U-2959,A-2959,6.09.49,6.49.38,2389,5914,,,
S-2960,U-2960,A-2960,16.42.42,17.04.15,1293,37,,,
S-2961,U-2961,A-2961,11.34.46,12.10.27,2141,4656,,,
S-2962,U-2962,A-2962,3.47.14,3.54.17,423,3790,,,
S-2963,U-2963,A-2963,7.49.18,8.37.00,2862,3652,,,
S-2964,U-2964,A-2964,15.51.42,16.13.36,1314,1420,,,
S-2965,U-2965,A-2965,12.44.37,13.11.03,1586,246,,,
S-2966,U-2966,A-2966,11.53.06,12.15.57,1371,1413,,,
S-2967,U-2967,A-2967,13.39.56,14.00.21,1225,5712,,,
S-2968,U-2968,A-2968,17.19.22,17.39.53,1231,1344,,,
S-2969,U-2969,A-2969,23.57.39,0.09.28,-85691,4683,,,
S-2970,U-2970,A-2970,10.12.27,10.41.04,1717,4429,,,
S-2971,U-2971,A-2971,15.13.11,15.23.06,595,6519,,,
S-2972,U-2972,A-2972,7.37.01,8.18.12,2471,4710,,,
S-2973,U-2973,A-2973,2.15.11,3.07.53,3162,5722,,,
S-2974,U-2974,A-2974,4.47.23,5.33.56,2793,4674,,,
S-2975,U-2975,A-2975,22.54.52,23.00.50,358,2781,,,
S-2976,U-2976,A-2976,6.57.39,7.50.41,3182,6342,,,
S-2977,U-2977,A-2977,20.27.30,21.23.59,3389,7584,,,
S-2978,U-2978,A-2978,5.24.32,5.30.05,333,1777,,,
S-2979,U-2979,A-2979,10.02.35,10.33.59,1884,1791,,,
S-2980,U-2980,A-2980,3.17.06,3.33.11,965,812,,,
S-2981,U-2981,A-2981,10.59.46,11.46.22,2796,7614,,,
S-2982,U-2982,A-2982,22.09.30,22.40.10,1840,3403,,,
S-2983,U-2983,A-2983,7.34.49,8.21.22,2793,2604,,,
S-2984,U-2984,A-2984,7.21.10,8.09.57,2927,5380,,,
S-2985,U-2985,A-2985,23.22.02,23.41.46,1184,6598,,,
S-2986,U-2986,A-2986,19.18.01,19.32.34,873,4071,,,
S-2987,U-2987,A-2987,7.49.20,8.10.55,1295,1675,,,
S-2988,U-2988,A-2988,21.50.37,22.01.08,631,942,,,
S-2989,U-2989,A-2989,21.35.52,22.24.53,2941,398,,,
S-2990,U-2990,A-2990,2.34.22,3.02.38,1696,6264,,,
S-2991,U-2991,A-2991,12.32.38,13.26.07,3209,4339,,,
S-2992,U-2992,A-2992,1.30.22,2.17.33,2831,1263,,,
S-2993,U-2993,A-2993,13.44.58,14.25.22,2424,4195,,,
S-2994,U-2994,A-2994,1.13.55,1.57.29,2614,2878,,,
S-2995,U-2995,A-2995,12.38.43,13.08.52,1809,6648,,,
S-2996,U-2996,A-2996,3.51.10,4.31.14,2404,3134,,,
S-2997,U-2997,A-2997,5.16.37,6.12.41,3364,5408,,,
S-2998,U-2998,A-2998,5.01.50,5.38.06,2176,5465,,,
S-2999,U-2999,A-2999,10.56.56,11.04.29,453,5617,,,
S-3000,U-3000,A-3000,12.53.17,13.30.37,2240,6529,,,
S-3001,U-3001,A-3001,11.55.39,12.40.34,2695,3617,,,
S-3002,U-3002,A-3002,1.04.16,1.51.50,2854,1351,,,
S-3003,U-3003,A-3003,12.51.07,13.11.52,1245,2429,,,
S-3004,U-3004,A-3004,23.55.05,0.33.20,-84105,7943,,,
S-3005,U-3005,A-3005,7.38.48,8.24.56,2768,3574,,,
S-3006,U-3006,A-3006,9.05.32,9.31.47,1575,6069,,,
S-3007,U-3007,A-3007,19.05.47,19.50.19,2672,3437,,,
S-3008,U-3008,A-3008,5.45.22,5.57.49,747,7737,,,
S-3009,U-3009,A-3009,10.17.39,10.43.08,1529,1297,,,
S-3010,U-3010,A-3010,9.47.58,10.36.23,2905,2014,,,
S-3011,U-3011,A-3011,17.25.02,17.57.46,1964,3378,,,
S-3012,U-3012,A-3012,19.10.33,20.09.37,3544,105,,,
S-3013,U-3013,A-3013,2.17.46,2.44.29,1603,6707,,,
S-3014,U-3014,A-3014,6.52.36,7.50.53,3497,5239,,,
S-3015,U-3015,A-3015,22.47.23,23.29.11,2508,6529,,,
S-3016,U-3016,A-3016,19.55.16,20.24.10,1734,2862,,,
S-3017,U-3017,A-3017,21.44.03,21.55.02,659,3983,,,
S-3018,U-3018,A-3018,18.14.11,18.23.00,529,456,,,
S-3019,U-3019,A-3019,14.39.08,14.50.03,655,1344,,,
S-3020,U-3020,A-3020,13.38.14,13.47.50,576,1344,,,
S-3021,U-3021,A-3021,0.48.14,1.44.54,3400,3480,,,
S-3022,U-3022,A-3022,4.08.21,4.32.35,1454,7871,,,
S-3023,U-3023,A-3023,22.07.09,22.13.15,366,1850,,,
